symbol,date,order_type,side,fees,quantity,average_price
ACIC,2021-02-11T20:55:42.025000Z,limit,buy,0.00,28.00000000,13.99500000
VYNE,2021-02-11T19:20:43.926000Z,limit,sell,0.02,144.00000000,2.66000000
SKLZ,2021-02-11T17:03:50.170000Z,market,buy,0.00,21.00000000,37.18520000
ARKG,2021-02-11T16:58:08.880000Z,market,sell,0.02,7.00000000,111.75290000
SKLZ,2021-02-10T18:34:33.065000Z,limit,buy,0.00,23.00000000,40.13520000
SPCE,2021-02-10T18:28:12.042000Z,market,sell,0.02,17.00000000,52.98120000
PRNT,2021-02-08T21:46:51.851000Z,limit,buy,0.00,8.00000000,48.95000000
PACE,2021-02-08T14:22:56.224000Z,limit,buy,0.00,32.00000000,12.33000000
RIOT,2021-02-05T20:49:24.016000Z,limit,buy,0.00,13.00000000,23.31000000
NNDM,2021-02-04T16:06:44.591000Z,limit,buy,0.00,40.00000000,14.99000000
AAPL,2021-02-03T21:19:12.908000Z,limit,buy,0.00,3.00000000,133.94000000
CCIV,2021-02-02T19:34:19.112000Z,limit,sell,0.00,12.00000000,31.50000000
CCIV,2021-02-02T18:59:41.039000Z,limit,sell,0.00,3.00000000,30.00000000
SPCE,2021-02-02T18:06:45.683000Z,market,buy,0.00,3.00000000,49.96000000
LLNW,2021-02-02T17:44:19.584000Z,market,sell,0.00,1.00000000,4.26000000
AQST,2021-02-02T17:44:07.330000Z,market,sell,0.00,1.00000000,5.44000000
BNGO,2021-02-02T17:21:23.939000Z,limit,sell,0.00,11.00000000,12.00000000
NIO,2021-02-01T15:49:56.552000Z,limit,buy,0.00,12.00000000,56.00000000
SPCE,2021-01-29T17:57:27.529000Z,limit,buy,0.00,14.00000000,45.94000000
VYNE,2021-01-27T19:55:28.887000Z,limit,buy,0.00,61.00000000,2.31000000
ZOM,2021-01-27T19:33:39.888000Z,limit,buy,0.00,250.00000000,0.89990000
VYNE,2021-01-26T14:59:47.568000Z,limit,buy,0.00,51.00000000,2.45000000
OBSV,2021-01-26T14:47:41.121000Z,limit,buy,0.00,28.00000000,3.90000000
VYNE,2021-01-25T16:22:15.696000Z,limit,buy,0.00,32.00000000,2.39000000
AAPL,2021-01-25T14:48:12.297000Z,limit,buy,0.00,2.00000000,144.00000000
CCIV,2021-01-21T13:58:00.267000Z,limit,buy,0.00,15.00000000,17.88000000
ARKF,2021-01-20T19:20:41.122000Z,market,buy,0.00,4.00000000,54.08000000
OBSV,2021-01-20T14:30:56.581000Z,limit,buy,0.00,12.00000000,4.16000000
ARKG,2021-01-19T14:48:13.496000Z,limit,buy,0.00,1.00000000,110.00000000
AAPL,2021-01-19T14:38:29.370000Z,limit,buy,0.00,2.00000000,128.25000000
ZOM,2021-01-13T19:30:59.629000Z,limit,buy,0.00,13.00000000,0.93000000
PSEC,2021-01-13T16:27:12.166000Z,market,sell,0.00,1.00000000,5.60000000
MGI,2021-01-13T16:26:43.422000Z,market,sell,0.00,1.00000000,6.61000000
ZOM,2021-01-13T14:37:51.608000Z,limit,buy,0.00,44.00000000,1.10000000
ARKG,2021-01-11T15:27:14.873000Z,market,buy,0.00,1.00000000,104.93000000
AGEN,2021-01-07T17:19:24.057000Z,market,sell,0.00,1.00000000,3.36000000
ZOM,2021-01-05T21:19:24.485000Z,limit,buy,0.00,113.00000000,0.44000000
BNGO,2021-01-05T20:48:52.240000Z,market,buy,0.00,11.00000000,5.06550000
ARKG,2021-01-04T14:30:00.033000Z,market,buy,0.00,6.00000000,94.30000000
